1,2
1,7
1,8
2,1
2,3
2,8
2,9
2,32
3,2
3,4
3,9
3,10
3,32
4,3
4,5
4,10
4,11
5,4
5,6
5,11
5,12
5,35
6,5
6,12
6,13
6,35
7,1
8,1
8,2
9,2
9,3
9,32
10,3
10,4
11,4
11,5
12,5
12,6
12,35
13,6
13,14
13,15
14,13
14,15
15,13
15,14
16,17
16,22
16,23
17,16
17,18
17,23
17,24
17,33
18,17
18,19
18,24
18,25
18,33
19,18
19,20
19,25
19,26
20,19
20,21
20,26
20,27
20,37
21,20
21,27
21,28
21,37
22,16
23,16
23,17
24,17
24,18
24,33
25,18
25,19
26,19
26,20
27,20
27,21
27,37
28,21
28,29
28,30
29,28
29,30
30,28
30,29
30,31
31,30
32,2
32,3
32,9
32,33
32,34
33,17
33,18
33,24
33,32
33,34
34,32
34,33
35,5
35,6
35,12
35,36
35,38
36,35
36,37
36,38
36,39
37,20
37,21
37,27
37,36
37,39
38,35
38,36
39,36
39,37
